V_BZNO,DEFAULT_YM,IS_RECOVERED,RECOVER_DT,DEFAULT_DT,DSH_RSN_CNT,DSH_RSN_DSC,RECOVER_YM
1000014767,202501,0,,2025-01-10,1,41,
1000014852,202508,0,,2025-08-06,1,40,
1000014870,202211,0,,2022-11-21,1,41,
1000014877,202212,0,,2022-12-01,1,41,
1000014951,202511,0,,2025-11-14,1,41,
1000014990,202409,1,2025-05-26,2024-09-12,1,41,202505
1000014999,202501,0,,2025-01-17,1,41,
1000015005,202502,0,,2025-02-03,1,41,
1000015024,202308,0,,2023-08-19,1,41,
1000015036,202511,0,,2025-11-01,1,41,
1000015119,202412,0,,2024-12-07,1,41,
1000015130,202407,0,,2024-07-27,1,41,
1000015136,202602,0,,2026-02-13,1,41,
1000015151,202110,0,,2021-10-07,1,41,
1000015157,202112,0,,2021-12-20,1,41,
1000015178,202509,0,,2025-09-20,1,41,
1000015205,202408,0,,2024-08-08,1,41,
1000015224,202103,1,2021-03-31,2021-03-06,1,41,202103
1000015224,202206,0,,2022-06-29,1,10,
1000015256,202107,0,,2021-07-08,1,41,
1000015289,202511,0,,2025-11-21,1,40,
1000015376,202501,0,,2025-01-24,1,41,
1000015453,202311,0,,2023-11-20,1,41,
1000015485,202111,1,2023-05-26,2021-11-24,1,40,202305
1000015505,202405,0,,2024-05-13,1,41,
1000015519,202106,0,,2021-06-30,1,41,
1000015616,202603,0,,2026-03-20,1,41,
1000015623,202412,0,,2024-12-13,1,41,
1000015636,202501,0,,2025-01-31,1,41,
1000015646,202502,0,,2025-02-06,1,41,
1000015676,202304,1,2023-05-09,2023-04-13,1,41,202305
1000015676,202311,0,,2023-11-09,1,41,
1000015680,202412,0,,2024-12-19,1,41,
1000015724,202412,0,,2024-12-28,1,41,
1000015764,202410,0,,2024-10-30,1,41,
1000015794,202412,1,2024-12-27,2024-12-13,1,41,202412
1000015843,202401,1,2024-04-24,2024-01-25,1,41,202404
1000015843,202502,0,,2025-02-07,1,41,
1000015889,202109,1,2021-09-13,2021-09-07,2,41|50,202109
1000015907,202210,1,2022-11-08,2022-10-06,1,41,202211
1000015907,202311,0,,2023-11-15,1,10,
1000015908,202402,0,,2024-02-17,1,41,
1000015938,202510,0,,2025-10-01,1,41,
1000015954,202201,0,,2022-01-24,1,41,
1000015971,202103,1,2021-09-30,2021-03-15,1,10,202109
1000015971,202205,1,2022-07-15,2022-05-20,1,41,202207
1000015971,202301,0,,2023-01-18,1,92,
1000016031,202305,0,,2023-05-08,1,40,
1000016061,202305,0,,2023-05-11,1,40,
1000016078,202410,0,,2024-10-10,1,40,
1000016081,202210,0,,2022-10-19,1,10,
1000016101,202210,0,,2022-10-07,1,40,
1000016104,202211,0,,2022-11-22,1,41,
1000016143,202310,0,,2023-10-14,1,41,
1000016192,202508,0,,2025-08-28,1,41,
1000016194,202604,0,,2026-04-29,1,41,
1000016200,202304,0,,2023-04-14,1,41,
1000016251,202208,0,,2022-08-10,1,41,
1000016506,202504,0,,2025-04-11,1,41,
1000016514,202605,0,,2026-05-09,1,41,
1000016596,202507,0,,2025-07-31,1,41,
1000016599,202306,1,2024-06-11,2023-06-03,1,41,202406
1000016599,202504,0,,2025-04-14,1,10,
1000016641,202110,0,,2021-10-28,1,41,
1000016659,202110,1,2021-10-29,2021-10-07,1,41,202110
1000016659,202202,0,,2022-02-15,1,10,
1000016717,202406,0,,2024-06-28,1,41,
1000016748,202505,1,2025-06-20,2025-05-15,1,41,202506
