V_BZNO|BASDT1|PERS1|BASDT2|PERS2|BASDT3|PERS3|BASDT4|PERS4|BASDT5|PERS5|BASDT6|PERS6|BASDT7|PERS7|BASDT8|PERS8|BASDT9|PERS9|BASDT10|PERS10|BASDT11|PERS11|
가상_사업자번호|기준일자1|종업원수1|기준일자2|종업원수2|기준일자3|종업원수3|기준일자4|종업원수4|기준일자5|종업원수5|기준일자6|종업원수6|기준일자7|종업원수7|기준일자8|종업원수8|기준일자9|종업원수9|기준일자10|종업원수10|기준일자11|종업원수11|
1000002961|20221231|40|20230417|40|||||||||||||||||||
1000001673|20210408|13|20221231|17|20230404|13|20230714|17|||||||||||||||
1000001805|20210630|122|||||||||||||||||||||
1000028070|20241231|61|20250514|57|20251231|54|20260504|54|||||||||||||||
1000010840|20210618|99|||||||||||||||||||||
1000002736|20211231|19|20220331|17|||||||||||||||||||
1000002753|20210510|40|20211231|37|20220412|37|20221231|37|20230411|39|20231231|39|20240412|40|20241231|45|20250324|50|||||
1000001451|20221231|9|20230404|8|20231231|8|20240516|8|||||||||||||||
1000000931|20210419|13|20221231|13|20230308|12|20230329|14|20231231|14|20241231|14|20250430|15|||||||||
1000012264|20210331|29|20221231|28|20230430|26|20231231|26|20240430|26|||||||||||||
1000017411|20210319|8|20211231|8|20220329|8|20221231|10|20230327|8|20231231|8|20240319|8|20241231|8|20250410|7|20260410|8|||
1000005934|20210504|7|20221231|6|20230405|7|20231231|6|20240402|7|20241231|7|20250424|6|20260417|7|||||||
1000010666|20211231|62|20221231|31|20231231|19|20240229|31|20240819|19|20241231|18|20250514|18|20251231|29|20260508|30|||||
1000011480|20241231|25|20250520|29|||||||||||||||||||
1000017390|20211231|16|20230522|15|20231231|15|20240617|13|20241231|15|20250418|15|20251231|15|20260427|15|||||||
1000011579|20211231|14|20230329|14|20231231|13|20240509|15|20241231|14|20250520|15|||||||||||
1000012030|20211231|22|20220511|22|20221231|19|20230512|18|20231231|22|20240508|24|20241231|24|20250502|29|20251231|21|20260429|20|||
1000015021|20210330|75|20211231|75|20220330|78|20221231|70|20230331|72|20231231|85|20240405|88|20241231|85|20250408|85|20251231|85|20260408|85|
1000012032|20211231|5|20221231|17|20230314|18|20230628|22|20231231|22|20240618|23|20241231|23|20250624|23|||||||
1000012525|20210317|12|||||||||||||||||||||
1000013245|20211231|33|20220408|48|||||||||||||||||||
1000009088|20210407|590|20211231|602|20220419|607|20221231|610|20230413|610|20230418|610|20231231|607|20241231|604|20250331|597|20251231|598|20260401|591|
1000000201|20241231|210|20250630|375|||||||||||||||||||
1000020389|20241231|8|20250219|8|||||||||||||||||||
1000005761|20221118|267|||||||||||||||||||||
1000006036|20211231|20|20221231|21|20230430|21|20231231|20|20240430|18|20241231|18|20250415|14|20251231|18|20260406|20|||||
1000013546|20231231|21|20240826|20|||||||||||||||||||
1000014082|20210618|32|20211231|38|20220616|32|20221231|38|20230602|38|20231231|40|20240530|42|20241231|42|20250609|45|||||
1000000742|20210607|10|20211231|10|20220614|9|20230620|9|20231231|5|20240617|5|20241231|5|20250617|3|||||||
1000022904|20210408|23|20211231|24|20220404|26|20231231|22|20240412|22|20241031|21|20241231|22|20250522|18|20251231|18|20260410|18|||
1000015998|20210331|75|20211231|71|20220427|74|||||||||||||||||
1000008721|20211231|86|20221031|73|||||||||||||||||||
1000000300|20210518|305|20211231|320|20220429|352|20221231|343|20230509|321|20231231|317|20240430|283|20241231|268|20250531|268|20251231|278|20260331|286|
1000000257|20210423|180|20211231|176|20220406|176|20221231|186|20230411|193|20231231|181|20240409|167|20241231|156|20250410|148|20251231|161|20260414|162|
1000016905|20211231|382|20221031|399|||||||||||||||||||
1000012635|20210412|26|||||||||||||||||||||
1000022372|20211231|12|20230207|17|||||||||||||||||||
1000000607|20260331|98|||||||||||||||||||||
1000000574|20211231|118|20220405|126|20221231|121|20230331|123|20231231|126|20240331|125|20241231|128|20250415|132|20251231|127|20260315|135|||
